hotspot_id,latitude,longitude,rainfall,elevation,drain_capacity,flood_risk_level,associated_ward
HS0001,28.797929,77.235837,134,270,0.76,LOW,W001
HS0002,28.793818,77.221115,147,234,0.53,MEDIUM,W001
HS0003,28.818719,77.244775,162,241,0.81,MEDIUM,W001
HS0004,28.800173,77.250967,166,268,0.51,MEDIUM,W001
HS0005,28.793952,77.235087,137,253,0.52,MEDIUM,W001
HS0006,28.780691,77.223398,156,236,0.77,MEDIUM,W001
HS0007,28.786227,77.241869,132,240,0.85,MEDIUM,W001
HS0008,28.794629,77.229371,171,232,0.55,HIGH,W001
HS0009,28.810592,77.214354,161,256,0.51,MEDIUM,W001
HS0010,28.815544,77.232074,161,269,0.72,MEDIUM,W001
HS0011,28.821155,77.230046,149,252,0.77,MEDIUM,W001
HS0012,28.784437,77.211773,145,249,0.72,MEDIUM,W001
HS0013,28.776261,77.235032,170,264,0.73,MEDIUM,W001
HS0014,28.797402,77.227433,165,247,0.65,MEDIUM,W001
HS0015,28.808936,77.240128,150,269,0.51,MEDIUM,W001
HS0016,28.777578,77.210331,155,268,0.72,MEDIUM,W001
HS0017,28.791739,77.214793,174,247,0.86,MEDIUM,W001
HS0018,28.79599,77.219471,141,254,0.78,MEDIUM,W001
HS0019,28.805637,77.248166,162,246,0.82,MEDIUM,W001
HS0020,28.786173,77.234685,140,256,0.5,MEDIUM,W001
HS0021,28.506897,77.210558,177,178,0.1,HIGH,W002
HS0022,28.533323,77.221053,184,176,0.3,HIGH,W002
HS0023,28.519793,77.221499,220,184,0.34,HIGH,W002
HS0024,28.542179,77.178023,205,179,0.23,HIGH,W002
HS0025,28.537153,77.207787,194,196,0.24,HIGH,W002
HS0026,28.528979,77.219529,213,201,0.2,HIGH,W002
HS0027,28.52515,77.2039,219,165,0.34,HIGH,W002
HS0028,28.520864,77.206574,186,163,0.1,HIGH,W002
HS0029,28.548431,77.176342,183,174,0.17,HIGH,W002
HS0030,28.551555,77.17878,216,190,0.33,HIGH,W002
HS0031,28.525023,77.199273,186,171,0.1,HIGH,W002
HS0032,28.521745,77.201405,171,191,0.1,HIGH,W002
HS0033,28.528292,77.190129,220,165,0.31,HIGH,W002
HS0034,28.534381,77.189142,216,176,0.19,HIGH,W002
HS0035,28.524142,77.209261,182,198,0.33,HIGH,W002
HS0036,28.509397,77.196158,216,185,0.21,HIGH,W002
HS0037,28.535597,77.183631,174,169,0.4,HIGH,W002
HS0038,28.537408,77.205666,215,171,0.1,HIGH,W002
HS0039,28.524131,77.177116,173,167,0.34,HIGH,W002
HS0040,28.536415,77.186095,179,196,0.26,HIGH,W002
HS0041,28.531178,77.188291,205,179,0.3,HIGH,W002
HS0042,28.764624,77.278844,123,205,0.25,HIGH,W003
HS0043,28.752836,77.272196,117,183,0.12,HIGH,W003
HS0044,28.747666,77.269841,110,192,0.1,HIGH,W003
HS0045,28.740285,77.314201,87,214,0.17,HIGH,W003
HS0046,28.742466,77.28061,81,206,0.22,HIGH,W003
HS0047,28.771938,77.273095,104,185,0.41,HIGH,W003
HS0048,28.726908,77.311767,105,183,0.15,HIGH,W003
HS0049,28.757733,77.295909,121,213,0.36,HIGH,W003
HS0050,28.763703,77.300545,109,193,0.34,HIGH,W003
HS0051,28.758706,77.301629,103,218,0.1,HIGH,W003
HS0052,28.767914,77.315688,107,203,0.1,HIGH,W003
HS0053,28.764829,77.279053,115,211,0.1,HIGH,W003
HS0054,28.751641,77.305454,88,219,0.1,HIGH,W003
HS0055,28.728037,77.283944,117,197,0.1,HIGH,W003
HS0056,28.742667,77.268076,121,215,0.1,HIGH,W003
HS0057,28.737999,77.268543,117,212,0.35,HIGH,W003
HS0058,28.74344,77.276597,113,209,0.33,HIGH,W003
HS0059,28.73252,77.306165,80,207,0.1,HIGH,W003
HS0060,28.762381,77.303051,77,202,0.26,HIGH,W003
HS0061,28.726119,77.311199,123,209,0.19,HIGH,W003
HS0062,28.756211,77.297342,88,187,0.1,HIGH,W003
HS0063,28.764908,77.286214,108,191,0.28,HIGH,W003
HS0064,28.680432,76.936447,73,182,0.18,HIGH,W004
HS0065,28.715195,76.939371,98,194,0.26,HIGH,W004
HS0066,28.714482,76.951661,89,187,0.19,HIGH,W004
HS0067,28.715888,76.961182,97,194,0.52,MEDIUM,W004
HS0068,28.693471,76.944946,75,184,0.25,HIGH,W004
HS0069,28.721684,76.933487,107,180,0.44,HIGH,W004
HS0070,28.682503,76.956426,93,177,0.37,HIGH,W004
HS0071,28.696062,76.940182,115,190,0.49,HIGH,W004
HS0072,28.711315,76.951566,115,172,0.39,HIGH,W004
HS0073,28.679047,76.914646,72,185,0.46,MEDIUM,W004
HS0074,28.696561,76.918885,86,185,0.31,HIGH,W004
HS0075,28.682511,76.9376,91,167,0.46,HIGH,W004
HS0076,28.688003,76.935781,77,186,0.17,HIGH,W004
HS0077,28.69211,76.937017,100,203,0.26,HIGH,W004
HS0078,28.707234,76.956026,107,173,0.43,HIGH,W004
HS0079,28.709943,76.920316,81,197,0.15,HIGH,W004
HS0080,28.696603,76.923537,102,175,0.45,HIGH,W004
HS0081,28.719547,76.916641,102,198,0.49,MEDIUM,W004
HS0082,28.67661,76.954246,95,187,0.27,HIGH,W004
HS0083,28.721358,76.923063,119,180,0.22,HIGH,W004
HS0084,28.680859,76.918248,80,168,0.5,HIGH,W004
HS0085,28.65814,77.104682,140,223,0.53,MEDIUM,W005
HS0086,28.647033,77.142169,155,218,0.44,HIGH,W005
HS0087,28.638979,77.131957,130,237,0.37,MEDIUM,W005
HS0088,28.613367,77.110283,122,222,0.47,MEDIUM,W005
HS0089,28.640993,77.134598,133,230,0.57,MEDIUM,W005
HS0090,28.628174,77.111189,140,229,0.19,HIGH,W005
HS0091,28.643992,77.118699,149,214,0.21,HIGH,W005
HS0092,28.631492,77.113111,123,244,0.52,MEDIUM,W005
HS0093,28.620039,77.150122,132,231,0.43,MEDIUM,W005
HS0094,28.648097,77.140469,132,243,0.42,MEDIUM,W005
HS0095,28.612799,77.121859,144,213,0.42,HIGH,W005
HS0096,28.650977,77.134833,120,214,0.43,HIGH,W005
HS0097,28.642907,77.138739,143,237,0.47,MEDIUM,W005
HS0098,28.656781,77.111067,152,225,0.57,MEDIUM,W005
HS0099,28.620378,77.144802,153,225,0.39,HIGH,W005
HS0100,28.629291,77.131731,114,228,0.34,MEDIUM,W005
HS0101,28.6598,77.11499,145,216,0.31,HIGH,W005
HS0102,28.650003,77.108627,153,234,0.36,HIGH,W005
HS0103,28.623132,77.105758,122,227,0.39,MEDIUM,W005
HS0104,28.628179,77.143527,109,216,0.28,HIGH,W005
HS0105,28.890641,77.01526,142,190,0.26,HIGH,W006
HS0106,28.880032,77.035824,159,190,0.6,HIGH,W006
HS0107,28.871119,77.029629,142,176,0.27,HIGH,W006
HS0108,28.86977,77.049464,151,163,0.3,HIGH,W006
HS0109,28.865822,77.049328,127,195,0.45,HIGH,W006
HS0110,28.845291,77.010051,172,186,0.52,HIGH,W006
HS0111,28.844081,77.018791,151,201,0.43,HIGH,W006
HS0112,28.868992,77.027076,166,200,0.31,HIGH,W006
HS0113,28.844711,77.01803,138,170,0.64,HIGH,W006
HS0114,28.847907,77.036264,154,200,0.6,HIGH,W006
HS0115,28.852069,77.037265,148,172,0.26,HIGH,W006
HS0116,28.855419,77.044178,169,202,0.56,HIGH,W006
HS0117,28.848867,77.04241,126,195,0.49,HIGH,W006
HS0118,28.890256,77.043976,170,167,0.48,HIGH,W006
HS0119,28.860641,77.010598,128,171,0.6,HIGH,W006
HS0120,28.892879,77.040255,135,193,0.55,HIGH,W006
HS0121,28.887138,77.022841,168,166,0.52,HIGH,W006
HS0122,28.883604,77.040748,163,185,0.42,HIGH,W006
HS0123,28.884104,77.008644,129,187,0.38,HIGH,W006
HS0124,28.874722,77.033126,137,183,0.4,HIGH,W006
HS0125,28.870637,77.032458,154,197,0.34,HIGH,W006
HS0126,28.846872,77.032806,168,176,0.5,HIGH,W006
HS0127,28.54546,77.245901,40,255,0.93,LOW,W007
HS0128,28.52172,77.235845,44,258,0.9,LOW,W007
HS0129,28.549447,77.245463,47,276,1.0,LOW,W007
HS0130,28.556344,77.266559,77,274,0.82,LOW,W007
HS0131,28.520816,77.251157,47,278,1.0,LOW,W007
HS0132,28.539442,77.228641,45,275,0.82,LOW,W007
HS0133,28.528755,77.249651,78,280,1.0,LOW,W007
HS0134,28.547051,77.24783,74,289,1.0,LOW,W007
HS0135,28.540433,77.267619,58,278,0.95,LOW,W007
HS0136,28.526599,77.261754,71,266,0.81,LOW,W007
HS0137,28.535202,77.258453,74,289,0.91,LOW,W007
HS0138,28.52479,77.25957,76,266,0.98,LOW,W007
HS0139,28.561397,77.262993,41,279,0.82,LOW,W007
HS0140,28.550987,77.239334,74,261,1.0,LOW,W007
HS0141,28.54827,77.231565,36,277,1.0,LOW,W007
HS0142,28.541625,77.25216,50,272,0.99,LOW,W007
HS0143,28.543026,77.248113,79,288,1.0,LOW,W007
HS0144,28.544083,77.245551,54,290,1.0,LOW,W007
HS0145,28.550793,77.246118,42,262,0.9,LOW,W007
HS0146,28.550162,77.243621,34,288,0.98,LOW,W007
HS0147,28.55423,77.240919,71,264,1.0,LOW,W007
HS0148,28.526858,77.223988,58,291,0.97,LOW,W007
HS0149,28.534146,77.222754,72,290,1.0,LOW,W007
HS0150,28.530031,77.234952,38,292,0.77,LOW,W007
HS0151,28.546391,77.222164,37,280,1.0,LOW,W007
HS0152,28.731321,77.321105,173,214,0.55,HIGH,W008
HS0153,28.704297,77.306022,167,228,0.87,MEDIUM,W008
HS0154,28.723998,77.303776,151,247,0.85,MEDIUM,W008
HS0155,28.733428,77.32484,145,241,0.65,MEDIUM,W008
HS0156,28.739488,77.304477,141,219,0.79,MEDIUM,W008
HS0157,28.748039,77.29883,157,251,0.48,MEDIUM,W008
HS0158,28.738539,77.325528,130,241,0.68,MEDIUM,W008
HS0159,28.732859,77.291554,168,243,0.52,MEDIUM,W008
HS0160,28.742983,77.326199,163,225,0.52,HIGH,W008
HS0161,28.713048,77.304182,170,232,0.61,MEDIUM,W008
HS0162,28.713633,77.312584,132,234,0.85,MEDIUM,W008
HS0163,28.745347,77.295186,151,226,0.87,MEDIUM,W008
HS0164,28.744251,77.297524,176,249,0.8,MEDIUM,W008
HS0165,28.720711,77.330997,159,225,0.79,MEDIUM,W008
HS0166,28.741182,77.302332,138,226,0.63,MEDIUM,W008
HS0167,28.710356,77.321846,147,225,0.86,MEDIUM,W008
HS0168,28.733729,77.328222,154,244,0.84,MEDIUM,W008
HS0169,28.726033,77.317411,175,214,0.85,MEDIUM,W008
HS0170,28.74294,77.320413,163,219,0.66,MEDIUM,W008
HS0171,28.726985,77.298726,174,223,0.86,MEDIUM,W008
HS0172,28.723305,77.302689,143,231,0.65,MEDIUM,W008
HS0173,28.706963,77.319139,158,213,0.73,MEDIUM,W008
HS0174,28.709281,77.290165,148,245,0.65,MEDIUM,W008
HS0175,28.704588,77.336841,160,226,0.86,MEDIUM,W008
HS0176,28.713639,77.29421,138,239,0.59,MEDIUM,W008
HS0177,28.558678,76.852865,60,250,0.57,LOW,W009
HS0178,28.561235,76.829916,56,282,0.53,LOW,W009
HS0179,28.571094,76.82482,62,253,0.53,LOW,W009
HS0180,28.573872,76.827128,49,251,0.32,MEDIUM,W009
HS0181,28.570598,76.842351,65,261,0.55,LOW,W009
HS0182,28.583839,76.827769,32,247,0.45,LOW,W009
HS0183,28.591505,76.849749,45,283,0.7,LOW,W009
HS0184,28.574183,76.823771,38,267,0.66,LOW,W009
HS0185,28.554694,76.842696,31,280,0.45,LOW,W009
HS0186,28.586658,76.842085,68,275,0.48,LOW,W009
HS0187,28.572762,76.857535,40,263,0.58,LOW,W009
HS0188,28.596932,76.858728,75,275,0.43,LOW,W009
HS0189,28.596306,76.830937,67,267,0.65,LOW,W009
HS0190,28.574563,76.837601,49,254,0.41,LOW,W009
HS0191,28.59426,76.840815,72,265,0.36,MEDIUM,W009
HS0192,28.599204,76.840448,35,259,0.34,LOW,W009
HS0193,28.5871,76.851236,51,281,0.32,LOW,W009
HS0194,28.597615,76.855159,58,282,0.46,LOW,W009
HS0195,28.588523,76.851353,55,251,0.54,LOW,W009
HS0196,28.591317,76.82172,37,284,0.35,LOW,W009
HS0197,28.575523,76.863229,35,286,0.57,LOW,W009
HS0198,28.568887,76.828568,76,282,0.57,LOW,W009
HS0199,28.631364,77.227245,73,209,1.0,LOW,W010
HS0200,28.642542,77.228253,36,231,1.0,LOW,W010
HS0201,28.668489,77.212078,34,209,0.87,LOW,W010
HS0202,28.674305,77.190485,48,239,0.9,LOW,W010
HS0203,28.649871,77.209901,45,229,1.0,LOW,W010
HS0204,28.6617,77.204056,72,220,0.84,LOW,W010
HS0205,28.668698,77.222322,72,211,1.0,LOW,W010
HS0206,28.640513,77.217006,44,207,1.0,LOW,W010
HS0207,28.655792,77.188284,55,210,0.86,LOW,W010
HS0208,28.66556,77.192721,51,228,1.0,LOW,W010
HS0209,28.633298,77.213519,50,230,0.93,LOW,W010
HS0210,28.635435,77.196373,45,236,0.97,LOW,W010
HS0211,28.653319,77.194131,42,222,1.0,LOW,W010
HS0212,28.671567,77.211069,60,207,0.91,LOW,W010
HS0213,28.628368,77.191588,28,202,1.0,LOW,W010
HS0214,28.63286,77.199329,65,233,0.81,LOW,W010
HS0215,28.655655,77.215908,62,226,0.81,LOW,W010
HS0216,28.64567,77.218444,59,221,1.0,LOW,W010
HS0217,28.669899,77.220888,37,213,1.0,LOW,W010
HS0218,28.665835,77.213173,39,230,0.85,LOW,W010
HS0219,28.671734,77.229071,27,203,1.0,LOW,W010
HS0220,28.672211,77.208906,60,237,0.9,LOW,W010
HS0221,28.662682,77.179415,61,203,0.8,MEDIUM,W010
HS0222,28.647285,77.19937,30,203,0.93,LOW,W010
HS0223,28.664071,77.184461,27,223,1.0,LOW,W010
HS0224,28.803313,77.126799,74,276,0.49,LOW,W011
HS0225,28.789918,77.164897,93,288,0.8,LOW,W011
HS0226,28.799221,77.144325,85,290,0.51,LOW,W011
HS0227,28.784237,77.155563,102,268,0.76,LOW,W011
HS0228,28.788178,77.134326,61,261,0.67,LOW,W011
HS0229,28.782119,77.159948,102,271,0.77,LOW,W011
HS0230,28.810205,77.173168,60,267,0.6,LOW,W011
HS0231,28.774516,77.126862,100,263,0.68,LOW,W011
HS0232,28.788142,77.172686,97,292,0.64,LOW,W011
HS0233,28.816843,77.167749,92,277,0.79,LOW,W011
HS0234,28.796115,77.1498,61,283,0.5,LOW,W011
HS0235,28.809603,77.150475,56,281,0.76,LOW,W011
HS0236,28.811482,77.133597,99,288,0.84,LOW,W011
HS0237,28.796809,77.126322,79,287,0.48,LOW,W011
HS0238,28.786992,77.139433,69,267,0.58,LOW,W011
HS0239,28.811176,77.148139,68,263,0.5,LOW,W011
HS0240,28.797585,77.127333,75,275,0.83,LOW,W011
HS0241,28.780168,77.152273,88,284,0.61,LOW,W011
HS0242,28.818198,77.126743,66,277,0.52,LOW,W011
HS0243,28.817313,77.145324,81,271,0.76,LOW,W011
HS0244,28.822271,77.138479,58,280,0.55,LOW,W011
HS0245,28.416136,77.251911,31,196,0.51,MEDIUM,W012
HS0246,28.404205,77.215859,26,185,0.67,MEDIUM,W012
HS0247,28.419109,77.209049,53,191,0.74,MEDIUM,W012
HS0248,28.396322,77.238703,36,197,0.48,MEDIUM,W012
HS0249,28.415854,77.227546,40,168,0.83,MEDIUM,W012
HS0250,28.435438,77.236762,53,179,0.61,MEDIUM,W012
HS0251,28.425488,77.230583,43,203,0.49,MEDIUM,W012
HS0252,28.410738,77.252214,68,195,0.55,MEDIUM,W012
HS0253,28.401174,77.219822,65,185,0.46,MEDIUM,W012
HS0254,28.399252,77.236292,47,177,0.55,MEDIUM,W012
HS0255,28.415501,77.25256,45,165,0.48,MEDIUM,W012
HS0256,28.416136,77.248772,52,198,0.49,MEDIUM,W012
HS0257,28.425778,77.244416,69,182,0.63,MEDIUM,W012
HS0258,28.402719,77.212647,27,187,0.59,MEDIUM,W012
HS0259,28.430813,77.217133,27,172,0.61,MEDIUM,W012
HS0260,28.438694,77.229962,61,183,0.67,MEDIUM,W012
HS0261,28.401241,77.233985,64,166,0.81,MEDIUM,W012
HS0262,28.401382,77.228664,47,164,0.46,HIGH,W012
HS0263,28.411124,77.239943,67,200,0.63,MEDIUM,W012
HS0264,28.423704,77.207484,51,172,0.77,MEDIUM,W012
HS0265,28.697582,77.241055,187,256,0.45,HIGH,W013
HS0266,28.69775,77.241488,173,262,0.43,MEDIUM,W013
HS0267,28.686251,77.193102,162,269,0.24,HIGH,W013
HS0268,28.70055,77.240307,170,264,0.28,HIGH,W013
HS0269,28.727509,77.197171,186,246,0.52,HIGH,W013
HS0270,28.714182,77.207337,166,269,0.49,MEDIUM,W013
HS0271,28.72559,77.217906,190,256,0.21,HIGH,W013
HS0272,28.685958,77.227588,177,269,0.3,HIGH,W013
HS0273,28.704117,77.229075,165,257,0.46,MEDIUM,W013
HS0274,28.721909,77.233821,169,270,0.17,HIGH,W013
HS0275,28.718564,77.196951,177,275,0.16,HIGH,W013
HS0276,28.715682,77.199991,162,236,0.49,MEDIUM,W013
HS0277,28.695563,77.223778,146,260,0.25,MEDIUM,W013
HS0278,28.699618,77.195059,188,249,0.52,MEDIUM,W013
HS0279,28.693237,77.232004,155,250,0.26,HIGH,W013
HS0280,28.726959,77.225171,165,262,0.32,MEDIUM,W013
HS0281,28.700574,77.202971,150,270,0.33,MEDIUM,W013
HS0282,28.721717,77.215588,191,260,0.33,HIGH,W013
HS0283,28.682958,77.239946,164,254,0.55,MEDIUM,W013
HS0284,28.722901,77.2266,170,255,0.55,MEDIUM,W013
HS0285,28.712666,77.219593,161,249,0.25,HIGH,W013
